"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.095427488E2,6.126854289E1,2.403063145E1,1.067922149E2,1.440000057E0,2.556999969E2,3.790092468E0,2.500000000E0
1.105430171E2,6.126853947E1,2.403060676E1,1.067619267E2,1.440000057E0,2.538000031E2,3.790092468E0,2.500000000E0
1.115435350E2,6.126853469E1,2.403058053E1,1.066914755E2,1.580000043E0,2.475000000E2,3.790092468E0,2.500000000E0
1.125432587E2,6.126852747E1,2.403055601E1,1.066436674E2,1.549999952E0,2.308000031E2,3.790092468E0,2.500000000E0
1.135425986E2,6.126851689E1,2.403053980E1,1.063743646E2,1.570000052E0,2.086000061E2,3.790092468E0,2.500000000E0
1.145430500E2,6.126850505E1,2.403053316E1,1.062855466E2,1.379999995E0,1.911000061E2,3.790092468E0,2.500000000E0
1.155433338E2,6.126849290E1,2.403053751E1,1.063542046E2,1.429999948E0,1.653000031E2,3.790092468E0,2.500000000E0
1.165428939E2,6.126848026E1,2.403054505E1,1.065175294E2,1.399999976E0,1.651999969E2,3.790092468E0,2.500000000E0
1.175431500E2,6.126846807E1,2.403055144E1,1.065732490E2,1.399999976E0,1.638000031E2,3.790092468E0,2.500000000E0
1.185427516E2,6.126845638E1,2.403055804E1,1.068455828E2,1.350000024E0,1.628999939E2,3.790092468E0,2.500000000E0
1.195431631E2,6.126844582E1,2.403056324E1,1.069036833E2,1.220000029E0,1.658000031E2,3.790092468E0,2.500000000E0
1.205435769E2,6.126843537E1,2.403056794E1,1.070176308E2,1.220000029E0,1.661000061E2,3.790092468E0,2.500000000E0
1.215427401E2,6.126842571E1,2.403056951E1,1.071827858E2,1.009999990E0,1.781999969E2,3.790092468E0,2.500000000E0
1.225428383E2,6.126841410E1,2.403056276E1,1.070276227E2,1.460000038E0,1.993000031E2,3.790092468E0,2.500000000E0
1.235435491E2,6.126840450E1,2.403053755E1,1.067929840E2,1.769999981E0,2.415000000E2,3.790092468E0,2.500000000E0
1.245436139E2,6.126840561E1,2.403050205E1,1.067728253E2,1.850000024E0,2.862999878E2,3.790092468E0,2.500000000E0
1.255426392E2,6.126841506E1,2.403047292E1,1.073417872E2,1.440000057E0,3.095000000E2,3.790092468E0,2.500000000E0
1.265427574E2,6.126842067E1,2.403044706E1,1.073343930E2,1.419999957E0,2.832999878E2,3.790092468E0,2.500000000E0
1.275435162E2,6.126842338E1,2.403041993E1,1.068265077E2,1.500000000E0,2.751000061E2,3.790092468E0,2.500000000E0
1.285433271E2,6.126842556E1,2.403039212E1,1.064456970E2,1.669999957E0,2.657999878E2,3.790092468E0,2.500000000E0
1.295426876E2,6.126842800E1,2.403036465E1,1.063842836E2,1.480000019E0,2.751000061E2,3.790092468E0,2.500000000E0
1.305431764E2,6.126843057E1,2.403034121E1,1.060717126E2,1.320000052E0,2.743999939E2,3.790092468E0,2.500000000E0
1.315429229E2,6.126843291E1,2.403032040E1,1.061144284E2,1.159999967E0,2.791000061E2,3.790092468E0,2.500000000E0
1.325429316E2,6.126843838E1,2.403030524E1,1.053636923E2,1.049999952E0,3.001000061E2,3.790092468E0,2.500000000E0
1.335427979E2,6.126844432E1,2.403029613E1,1.056138751E2,9.200000167E-1,3.106000061E2,3.790092468E0,2.500000000E0
